fishID.univ,filename,habitat,watershed,sex,standard.length.from.calipers,jaw.opening.in.lever.length.mm,jaw.closing.in.lever.length.mm,jaw.out.lever.length.mm,buccal.cavity.length.mm,epaxial.area.mm.squared,gape.width.mm,L.outlever.neurocranium.mm,L.inlever.epaxial.height.mm,KT.fixed.link.mm,KT.coupler.link.mm,KT.input.link.mm,KT.output.link.mm,KT.diagonal.mm
SwaS13.001,SwaS13.01_01.JPG,stream,Swan,F,45.5,0.852716174,1.309691729,3.566107428,10.52851291,13.51928027,3.12,14.92878762,2.16142572,7.58442723,6.790616954,4.202774065,1.013108441,6.710419281
SwaS13.002,SwaS13.01_02.JPG,stream,Swan,F,54.51,1.088928875,1.53862613,4.868294933,12.53416464,13.77704071,3.77,17.11136569,2.670456909,9.061185,8.160533982,5.481953038,0.969727206,8.031217709
SwaS13.004,SwaS13.01_04.JPG,stream,Swan,M,51.71,1.15477454,1.889015113,4.864051261,12.88279312,13.75345558,4.31,18.21798093,3.011236397,9.357567029,8.45388956,5.706038412,1.523508765,8.169388329
SwaS13.006,SwaS13.01_06.JPG,stream,Swan,F,38.84,0.772880412,1.161053374,3.325490724,8.875079915,13.71228224,2.36,13.36531229,1.933228482,6.812641878,6.336826402,4.070260131,0.708805518,6.159738929
SwaS13.007,SwaS13.01_07.JPG,stream,Swan,M,42.68,0.762557061,1.369543407,3.729910527,10.2574664,13.45801662,3.01,14.86995394,2.33453449,7.384199627,6.655135656,4.589154054,0.89242157,6.556687273
SwaS13.008,SwaS13.01_08.JPG,stream,Swan,F,46.99,0.885635572,1.317028056,3.911281799,10.34439629,13.71357332,3.11,14.84501096,2.256736287,7.413301316,6.283744837,4.877577882,1.077186384,6.265232232
SwaS13.009,SwaS13.01_09.JPG,stream,Swan,M,51.92,1.139497726,1.742155555,4.965197813,13.30193473,13.90783353,3.65,18.94761306,3.035472215,9.595229592,8.168334148,5.721917906,1.13782134,7.810920797
SwaS13.010,SwaS13.01_10.JPG,stream,Swan,unknown,36.17,0.648748768,1.073770938,3.105331098,7.710730748,13.64794431,2.24,11.73058376,1.795197418,5.710491991,5.080754251,3.182515632,0.823135499,4.94098692
SwaS13.011,SwaS13.01_11.JPG,stream,Swan,F,60.19,1.223070719,1.929936069,5.089333164,13.97645692,13.90698607,5.16,19.2205584,3.67572148,9.619388209,8.740501186,5.964640228,1.279216792,8.343632985
SwaS13.013,SwaS13.01_13.JPG,stream,Swan,F,46.46,0.980006857,1.351201395,3.849353458,9.599437815,13.64890818,3.13,15.34779164,2.427478704,7.366420015,6.623844875,4.563435016,1.255154902,6.250687308
SwaS13.014,SwaS13.01_14.JPG,stream,Swan,F,44.73,0.689191276,1.167518802,3.414159482,9.677117453,13.09264686,3.02,14.2634649,2.587176397,6.5724495,6.015572009,3.975486634,0.958375132,5.985833719
SwaS13.016,SwaS13.01_16.JPG,stream,Swan,F,56.37,1.187723034,1.647866292,4.958719454,13.04511419,13.71357332,4.15,18.75535216,3.327965728,8.856231124,8.246445695,6.202231401,1.669560988,8.081424204
SwaS13.019,SwaS13.01_19.JPG,stream,Swan,F,55.75,1.178525123,1.634534881,4.6187579,12.5788544,13.7778731,3.88,18.06278723,4.116940325,8.528747812,7.849272259,5.381044779,0.917772175,7.51737958
SwaS13.020,SwaS13.01_20.JPG,stream,Swan,F,39.59,0.785531333,1.187578064,3.353596664,9.512988068,13.71274996,2.65,13.17949606,2.031237429,6.779236911,6.219532473,4.151116022,0.697164142,5.99243199
SwaS13.021,SwaS13.01_21.JPG,stream,Swan,F,43.92,0.899203375,1.155895993,3.592032636,9.74365139,13.71177611,2.73,14.31761924,2.199988146,7.007494854,6.078781945,4.543192912,0.787314577,6.034287616
SwaS13.022,SwaS13.01_22.JPG,stream,Swan,unknown,41.12,0.739161429,1.181940036,3.818026559,7.83222001,13.58455719,2.54,14.03966077,2.034041686,6.768256681,5.840343704,4.067417936,0.909501334,5.861136326
SwaS13.023,SwaS13.01_23.JPG,stream,Swan,F,58.43,1.262053798,1.818806622,4.888141717,12.20836033,13.65007577,4.54,18.34242542,3.872673779,9.844172946,8.487775037,6.506565309,0.986452491,8.204059931
SwaS13.024,SwaS13.01_24.JPG,stream,Swan,F,58.15,1.090720612,1.766564595,4.951362247,12.98753788,13.77606001,4.06,19.03031502,3.113581047,9.826776037,8.984574192,5.935516718,1.646215522,8.459441312
SwaS13.025,SwaS13.01_25.JPG,stream,Swan,F,57.35,1.198013291,1.853385264,4.664634278,12.43088148,13.77606001,4.39,18.55133333,3.267472527,9.52867033,8.904413919,6.181692308,1.573388278,8.51362747
SwaS13.026,SwaS13.01_26.JPG,stream,Swan,F,55.03,1.12158829,1.733053023,4.930720126,12.74040132,13.58345485,4.44,18.74941806,2.894622232,9.337537861,8.815665369,5.902849484,1.359721883,8.379172042
TheL13.001,TheL13.01_01.JPG,lake,Theimer,F,55.14,0.957692627,1.599378479,4.57022899,12.14006848,15.93456048,3.65,18.23245553,2.961150433,9.468956519,8.766560362,5.816720325,1.244825846,8.679232612
TheL13.002,TheL13.01_02.JPG,lake,Theimer,M,63.34,1.309731092,2.416603187,5.919109564,13.74437299,15.61837508,3.7,22.37352555,3.399062044,12.09830657,10.11633942,7.359332117,1.371408759,9.845427456
TheL13.004,TheL13.01_04.JPG,lake,Theimer,M,67.21,1.366883052,2.296163938,6.411165024,16.29755282,15.45619124,3.82,23.97016925,3.668121268,13.17651464,11.77914551,7.200854614,1.554577921,11.57535794
TheL13.005,TheL13.01_05.JPG,lake,Theimer,M,68.91,1.407841829,2.076145153,6.363810256,15.26287763,15.76736095,3.96,23.44363066,3.65253075,12.05454855,11.08677023,6.890421888,1.241404254,10.79896417
TheL13.006,TheL13.01_06.JPG,lake,Theimer,F,68.97,1.233099054,1.897206215,5.801230407,14.48251646,16.0945142,4.39,22.72178992,4.30151165,12.39787594,11.11614243,7.234608323,1.142042459,10.69090837
TheL13.008,TheL13.01_08.JPG,lake,Theimer,M,65.39,1.339279641,2.246146153,6.312801303,15.06229814,15.69486597,4.04,12.79056653,2.022219452,6.535361588,5.904911911,3.89894641,0.843996771,5.825099263
