habitat,watershed,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,Habitat.L.0..S.1,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm,fishID.univ,filename,habitat,watershed,sex,standard.length.from.calipers,jaw.opening.in.lever.length.mm,jaw.closing.in.lever.length.mm,jaw.out.lever.length.mm,buccal.cavity.length.mm,epaxial.area.mm.squared,gape.width.mm,L.outlever.neurocranium.mm,L.inlever.epaxial.height.mm,KT.fixed.link.mm,KT.coupler.link.mm,KT.input.link.mm,KT.output.link.mm,KT.diagonal.mm
stream,beaver,4.84,6.12,13.2,2.61,8.2,2.09,13.28,2.47,2.91,4.77,14.22,10.07,6.65,27.8,1268.68,53.45,11.25,3.65,2.72,5.95,6.14,4.12,9.6,6.99,4.86,3.57,1,2.74,54.12,7.8,4,8,4,15,15,1.12,1.17,1.17,2.67,BeaS13.081,Bea13LS.02_81.JPG,stream,Beaver,F,54.12,1.000247218,1.566819699,4.266484812,11.24505208,15.39302785,3.47,16.00257892,2.992393856,8.701890597,7.866124329,5.622295756,1.031846271,7.684958641
stream,beaver,5.5,5.83,13.8,2.66,9.63,3.15,14.18,2.07,4.03,4.98,16.68,9.18,8.4,28.36,1426.85,58.15,13.9,4.34,2.39,6.3,6.83,4.75,10.73,7.31,5.48,3.97,1,3.39,58.91,8.19,5,8.24,4,15,15,1.16,1.11,1.13,2.21,BeaS13.084,Bea13LS.02_84.JPG,stream,Beaver,F,58.91,1.239833137,1.695442181,4.920081791,13.89864532,15.3873714,2.53,18.09400403,2.667998668,9.596490646,9.359436195,6.430881867,1.076171493,9.055385864
lake,boot,6.51,7.67,17.63,2.68,13.98,3.67,14.32,3.92,5.79,6.22,19.65,10.91,8.9,31.02,1645.31,67.25,14.34,4.29,3.4,6.44,6.29,3.83,13.66,9.73,5.99,4.55,0,3.76,64.78,NA,7,10.46,7,22,19 3 along top got left behind,1.14,1.37,1.14,2.27,BooL13.001,BooL13.01_01.JPG,lake,Boot,M,64.78,1.274604946,2.003346995,5.979507978,14.3446348,15.46903792,4.05,21.01769858,2.40205783,11.21180683,9.993964836,7.389441166,1.291814853,9.916725476
lake,boot,6.48,7.59,16.39,2.77,11.95,3.02,12.08,2.7,5.05,5.24,17.41,10.49,8.55,29.52,1483.67,60.69,13.36,4.06,2.68,5.15,6.07,4.27,12.29,8.96,5.61,4.21,0,3.05,59.9,NA,7,10.28,8,20,20,1.37,1.16,1.33,2.29,BooL13.002,BooL13.01_02.JPG,lake,Boot,M,59.9,1.148581648,2.076389207,5.372346376,13.36337761,15.42816757,2.33,18.99796696,2.290170541,10.86803627,9.649608812,7.122677561,1.095313161,9.764768416
lake,boot,7.24,8.22,17.82,2.71,12.77,3.87,13.32,3.11,5.48,5.76,18.99,13.02,8.82,33.7,1880.63,66,13.75,4.21,3.12,5.94,6.64,4.55,13.02,9.54,6.52,4.45,0,4.21,65.72,NA,7,9.17,7,20,20,1.39,1.21,1.38,2.37,BooL13.003,BooL13.01_03.JPG,lake,Boot,M,65.72,0.818922264,2.007757633,5.439240482,13.75368885,15.46903792,3.04,21.31623612,1.790146652,10.24097346,10.15951614,7.368202713,1.647540097,9.770380941
lake,boot,6.61,7.97,16.57,2.72,13.49,4.01,13.36,3.6,6,5.75,19.9,12.55,9.9,34.32,2032.28,67.66,14.86,3.96,3.02,5.85,6.04,4.54,12.86,9.37,6.34,4.24,0,3.69,66.36,NA,7,9.97,7,21,21,1.46,1.5,1.46,2.1,BooL13.004,BooL13.01_04.JPG,lake,Boot,F,66.36,0.944957556,2.171269853,5.863465363,14.85693965,15.54224099,3.29,21.27268225,2.615338235,10.87253182,10.64888272,7.699061005,1.897035508,10.34727355
lake,boot,8.05,9.37,18.02,3.05,12.78,4.11,15.33,3.07,5.2,6.5,19.11,12.75,9.57,35.45,2049.59,71.36,13.66,3.84,3.36,7.04,7.36,5,15.3,11.55,5.91,4.11,0,4.64,68.88,NA,8,NA,12,21,21,1.47,1.55,1.31,2.32,BooL13.005,BooL13.01_05.JPG,lake,Boot,F,68.88,1.261455909,2.046387424,5.405309697,13.66200195,15.43148279,4.81,21.02651798,2.608652461,11.55474123,9.749686638,8.029170624,1.798653121,9.687118752
lake,boot,7.59,9.37,16.27,2.93,13.21,3,14.67,3.7,5.45,6.38,19.22,11.79,9.47,33.55,1904.5,65.66,13.78,3.87,2.96,5.97,6.59,4.69,14.09,9.73,5.64,4.16,0,3.88,64.02,NA,7,11.86,7,18,18,1.42,1.48,1.56,2.14,BooL13.006,BooL13.01_06.JPG,lake,Boot,M,64.02,1.311504525,2.339830982,5.896508834,13.77821727,15.39302785,4.5,21.42574551,2.690281851,11.32701712,10.21141455,7.886185639,1.612887141,9.837052389
lake,boot,7.67,8.75,18.68,3.09,13.74,3.75,14.48,3.81,5.63,6.67,20.93,11.25,10,32.92,1771.7,67.99,15.79,4.38,2.72,6.45,6.3,4.16,13.95,10.31,6.09,4.47,0,4.14,66.8,NA,7,9.9,7,20,20,1.35,1.29,1.29,2.44,BooL13.007,BooL13.01_07.JPG,lake,Boot,M,66.8,1.583847732,2.226806212,6.137358153,15.7853029,15.54656755,2.84,22.8201737,3.528902267,11.63830906,9.79719788,7.703152175,1.341856812,9.649485594
lake,boot,6.23,7.77,17.46,2.32,12.45,3.53,13.06,3.29,5.2,5.54,18.08,10.75,8.88,30.73,1613.62,64.75,14.33,3.87,2.53,5.55,5.91,4.27,12.78,9.21,5.77,4.17,0,3.25,63.09,NA,7,10.3,7,19,19,1.43,1.41,1.4,2.26,BooL13.009,BooL13.01_09.JPG,lake,Boot,M,63.09,0.969369657,2.158055048,5.611564292,14.33134451,15.46989391,4.34,19.12439563,2.800750818,9.951001421,9.505239543,7.034486786,1.092632427,9.287088823
