fishID.univ,n,fishID.lateral,watershed,habitat,watershed.habitat,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,n.1,file.name.ventral,watershed.1,habitat.1,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,FishID.ArmorGills,Watershed,Habitat.L.0..S.1,sequenced.neuro..funct..from.these,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Notes,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,FileName.GillRakerDig,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm
BeaL13.031,31,BeaL13.01_31.JPG,beaver,lake,beaver.L,4.19,4.94,11.43,1.96,7.62,1.76,10.07,2.19,3.34,4.48,13.5,8.94,6.18,22.81,1201.78,49.33,31,BeaL13.01_31b.JPG,beaver,lake,11.81,3.47,3.59,4.29,4.57,2.68,7.86,6.77,4.54,3.21,BeaL13.01_31,Beaver,0,yes,1.71,49.99,6.55,6,6.89,6,,17,17,BeaL13.01_31.JPG,0.99,0.98,1,2.57
BeaL13.032,32,BeaL13.01_32.JPG,beaver,lake,beaver.L,3.75,4.58,9.72,1.76,7.48,2.07,8.45,1.96,2.8,4.01,11.68,7.8,5.21,20.87,1002.21,40.44,32,BeaL13.01_32.JPG,beaver,lake,10.3,2.45,1.86,3.12,3.6,2.15,6.53,4.96,3.8,2.71,BeaL13.01_32,Beaver,0,no,0.88,40.12,5.86,5,5.5,4,,18,18,BeaL13.01_32.JPG,0.91,0.94,0.88,3.13
BeaL13.033,33,BeaL13.01_33_side_retake.JPG,beaver,lake,beaver.L,3.44,3.95,10.37,1.46,7.62,2.76,7.53,1.55,2.55,3.62,10.52,5.32,4.58,15.77,441.3,38.55,33,BeaL13.01_33.JPG,beaver,lake,9.08,2.52,2.2,2.99,3.22,2.02,6.99,5.12,3.56,2.52,BeaL13.01_33,Beaver,0,yes,0.75,39.09,5.43,5,5.65,6,why no geomorpho?,17,17,BeaL13.01_33.JPG,0.7,0.67,0.71,3.69
BeaL13.034,34,BeaL13.01_34.JPG,beaver,lake,beaver.L,4.68,5.62,13.88,2.65,10.05,3.02,10.95,2.66,3.21,5.01,15.06,10.9,7.01,28.13,1780.3,53.89,34,BeaL13.01_34b.JPG,beaver,lake,12.4,3.47,2.51,4.24,4.57,2.33,7.13,6.01,5.51,4.16,BeaL13.01_34,Beaver,0,yes,2.1,52.75,7.07,5,7.18,5,,21,21,BeaL13.01_34.JPG,1.25,1.25,1.13,2.63
BeaL13.035,35,BeaL13.01_35_side_retake.JPG,beaver,lake,beaver.L,3.06,3.77,6.71,1.52,6.36,1.36,7.01,1.44,3.11,3.69,11.22,5.59,4.49,16.51,432.42,36.68,35,BeaL13.01_35.JPG,beaver,lake,8.62,2.1,1.6,2.46,2.78,1.54,6.07,4.65,3.25,2.13,BeaL13.01_35,Beaver,0,no,0.54,35.29,4.82,4,5.1,6,,20,20,BeaL13.01_35.JPG,0.74,0.71,0.78,3.72
BeaL13.036,36,BeaL13.01_36.JPG,beaver,lake,beaver.L,3.32,3.53,9.54,1.64,7.28,1.86,8.23,2.19,3.17,3.73,11.83,6.63,4.81,17.86,728.43,40.78,36,BeaL13.01_36.JPG,beaver,lake,9.78,2.53,1.89,2.86,3.42,2.04,6.23,4.5,3.86,2.46,BeaL13.01_36,Beaver,0,yes,0.9,40.75,4.51,4,4.32,4,,20,20 top rakers seperated but count confirmed,BeaL13.01_36.JPG,0.64,0.69,0.75,2.92
BeaL13.037,37,BeaL13.01_37.JPG,beaver,lake,beaver.L,3.57,3.93,9.81,1.62,6.43,1.79,7.97,1.93,2.95,4.3,11.65,5.03,5.16,15.85,572.67,40.6,37,BeaL13.01_37_ventral_retake.JPG,beaver,lake,8.73,2.85,2.11,3.2,3.63,2.31,6.54,4.83,3.49,2.38,BeaL13.01_37,Beaver,0,no,0.88,40.96,5.19,3,5.21,4,,18,18,BeaL13.01_37.JPG,0.8,0.76,0.67,2.9
BeaL13.038,38,BeaL13.01_38.JPG,beaver,lake,beaver.L,3.46,4.06,9.36,1.64,6.88,1.63,8.11,2.2,3.05,4.19,12.34,5.43,4.92,16.12,618.24,38.86,38,BeaL13.01_38.JPG,beaver,lake,9.67,2.66,2.43,2.82,3.29,1.78,5.51,4.51,3.53,2.51,BeaL13.01_38,Beaver,0,no,0.76,38.39,4.7,5,4.72,5,,18,18,BeaL13.01_38.JPG,0.81,0.73,0.74,3.28
BeaL13.039,39,BeaL13.01_39.JPG,beaver,lake,beaver.L,3.96,4.41,9.1,1.56,7.04,2.32,8.03,1.5,2.58,3.66,10.38,6.75,4.38,17.19,677.5,39.94,39,BeaL13.01_39.JPG,beaver,lake,9.08,2.54,2.3,2.58,3.06,1.62,5.88,4.88,3.51,2.71,BeaL13.01_39,Beaver,0,no,0.71,39.36,5.48,5,5.16,5,,21,21,BeaL13.01_39.JPG,0.76,0.59,0.72,3.84
BeaL13.040,40,BeaL13.01_40_labeled10.JPG,beaver,lake,beaver.L,3.66,4.4,9.8,1.61,7.66,2.33,8.54,2.09,3.19,3.88,12.33,7.33,5.03,19.21,801.52,41.94,40,BeaL13.01_40_labeled10.JPG,beaver,lake,10.27,2.75,1.93,3.09,3.37,2.14,7.85,5.54,3.88,2.91,BeaL13.01_40_labeled10,Beaver,0,no,0.96,41.6,6.07,5,6.18,5,,17,17,BeaL13.01_40.JPG,0.97,0.94,0.97,3
